PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Scott,PHI,30,72,40,32,16.9,5.5,2,5.1,38.9,1.2,3.1,39.1,0.3,0.4,64.5,0.6,2.9,3.4,0.8,0.6,0.4,0.2,1.9,11.8,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Holiday,IND,22,45,28,17,11.6,5.5,2,4.9,39.8,0.8,2.4,32.4,0.8,0.9,87.8,0.1,1.2,1.3,1.5,0.7,0.4,0.3,1.2,10.5,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasson Randle,WAS,26,43,18,25,14.8,5.5,1.9,4.3,43.5,0.9,2.2,41.1,0.8,1.2,69.2,0.2,0.9,1.1,1.9,0.9,0.5,0,1.9,10.4,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,SAC,33,23,11,12,15.7,5.4,1.9,4.3,43.9,0.4,1.7,26.3,1.3,1.7,74.4,0.5,1.6,2,1.2,0.5,0.9,0.2,2.1,12.6,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgui Dieng,MIN,29,68,30,38,12.6,5.4,2.1,4.3,48.6,0.2,0.7,30.4,1.1,1.3,83,1,2.9,3.9,0.8,0.6,0.6,0.5,1.7,14,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Jones,GSW,23,24,15,9,17.1,5.4,2.2,3.1,71.6,0,0,0,1,1.5,64.9,1.3,1.8,3.1,1.2,0.7,0.5,1,2.6,14.9,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Brown,MIL,24,51,41,10,16.2,5.4,2.1,4.6,46,0.8,2.3,35.9,0.4,0.5,66.7,0.5,2.5,3,1.3,0.7,0.4,0.1,1.4,11.8,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Clark,NOP,28,54,22,32,14.1,5.4,2,5.2,39.1,0.9,2.7,31.5,0.5,0.6,90.3,0.2,1.1,1.3,1.4,0.9,0.3,0.1,1.5,9.4,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Neto,UTA,26,34,23,11,12.7,5.4,2,4.3,47.3,0.6,1.6,33.9,0.7,0.9,86.2,0.1,1.6,1.7,2.5,0.9,0.4,0.1,1.3,11.7,0,0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan McRae,WAS,28,23,8,15,10.6,5.3,2,4.1,50,0.3,0.9,40,0.9,1.1,80.8,0.3,1,1.3,0.5,0.4,0.4,0.2,0.7,9.1,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Abrines,OKC,25,31,21,10,19,5.3,1.8,5.1,35.7,1.3,4.1,32.3,0.4,0.4,92.3,0.2,1.4,1.5,0.6,0.5,0.5,0.2,1.7,9.9,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Elie Okobo,PHX,21,47,5,42,17.8,5.3,2,5.3,37.5,0.7,2.4,27.2,0.7,0.9,77.5,0.2,1.7,1.9,2.4,1.3,0.6,0.1,2.1,12.1,0,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Aron Baynes,BOS,32,45,28,17,15.1,5.3,2,4.2,47.1,0.4,1.2,32.1,1,1.2,83.3,1.6,2.6,4.2,1.1,0.8,0.2,0.6,2.5,13.7,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Rabb,MEM,22,42,17,25,13,5.3,2.2,3.8,57.9,0,0.2,20,0.9,1.2,70.6,1.3,2.4,3.8,0.9,0.7,0.3,0.3,1.6,12.1,3,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Wilson,MIL,23,41,33,8,17.2,5.3,2,4.8,41.5,0.9,2.4,36,0.4,0.9,50,0.9,3.3,4.1,0.9,0.6,0.4,0.5,1.7,13.5,1,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Ellenson,NYK,22,13,2,11,12.9,5.2,1.8,4.8,36.5,0.8,2.2,39.3,0.8,1.1,78.6,0.3,3.3,3.6,1,0.5,0.5,0,1.2,11.9,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Hutchison,CHI,22,44,10,34,20.3,5.2,2.2,4.8,45.9,0.3,1.1,28,0.5,0.9,60.5,0.7,3.5,4.2,0.8,0.6,0.5,0.1,1.3,12.8,1,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,UTA,25,75,45,30,19.8,5.1,1.9,4.1,47.7,0.8,2,39.9,0.4,0.5,75.6,0.3,3.2,3.5,1.5,0.8,0.7,0.3,2,13.6,1,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Poythress,ATL,25,21,7,14,14.5,5.1,1.9,3.9,49.4,0.4,1.1,39.1,0.9,1.4,62.1,1.4,2.2,3.6,0.8,0.6,0.2,0.5,2.2,12,0,0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Jones,CLE,25,16,3,13,13.4,5.1,1.6,3.9,41.9,0.6,1.8,35.7,1.2,1.7,70.4,0.7,1.4,2.1,0.4,0.5,0.6,0.1,1.7,9.8,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc Mbah a Moute,LAC,32,4,2,2,15.3,5,2,4.5,44.4,0.5,1.5,33.3,0.5,1.3,40,0.5,1.3,1.8,0.5,0.5,0.3,0.3,2,8.9,0,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Treveon Graham,BKN,25,29,15,14,21.3,5,1.8,5.4,32.9,0.9,3.6,26.2,0.5,0.6,77.8,0.7,2.5,3.1,1,0.5,0.4,0.2,2.2,11.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Thon Maker,DET,22,56,40,16,14.1,5,1.7,4.1,42.1,0.8,2.3,32.6,0.8,1.3,62.5,0.6,2.4,3.1,0.7,0.5,0.3,0.7,1.6,12.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Gortat,LAC,35,47,25,22,16,5,2.1,4,53.2,0,0,0,0.7,1,72.9,1.4,4.1,5.6,1.4,1.1,0.1,0.5,2,14.5,1,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Pinson,BKN,23,15,5,10,12.5,4.9,1.5,4.2,34.9,0.7,2.6,28.2,1.3,1.5,86.4,0.1,2,2.1,1.3,1,0.3,0,0.9,9.4,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nerlens Noel,OKC,24,70,43,27,13.8,4.9,2.1,3.7,57.6,0,0,0,0.7,1,67.1,1.6,2.7,4.3,0.6,0.6,0.9,1.2,2.2,16.7,2,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Dorsey,MEM,23,41,8,33,12,4.9,1.8,4.4,40.2,0.7,2.1,34.1,0.7,1.2,56.3,0.5,1.6,2.1,0.9,0.4,0.3,0,1,9.4,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Donte DiVincenzo,MIL,22,27,20,7,15.2,4.9,1.9,4.6,40.3,0.8,3.1,26.5,0.3,0.4,75,0.6,1.8,2.4,1.1,0.7,0.5,0.2,1.4,10.9,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Mason,SAC,24,35,16,19,11.5,4.8,1.7,4.2,41.5,0.3,1.5,20.8,1,1.5,67.9,0.1,1,1.1,2.3,0.9,0.5,0.1,0.8,10.5,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,MIN,33,57,24,33,16.1,4.8,1.5,3.9,38.2,1.2,3.2,36.8,0.7,0.8,81.3,0.2,2.4,2.6,0.7,0.5,0.2,0.3,1.4,10.1,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Anthony Melton,PHX,20,45,12,33,19.5,4.8,1.9,5.1,38,0.6,2,30.8,0.3,0.4,75,0.5,2.2,2.6,3.2,1.5,1.4,0.4,2.3,16.7,0,0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Monroe,BOS,28,39,26,13,10.9,4.8,1.9,4.2,46.3,0,0.1,0,0.9,1.6,57.4,1.6,2.5,4.1,0.4,0.8,0.3,0.2,1.6,11.1,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake Milton,PHI,22,14,7,7,10.6,4.8,1.9,3.9,48.1,0.8,2,39.3,0.3,0.4,80,0.5,1,1.5,0.9,0.2,0.3,0.2,1.2,9.3,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Williams,LAL,23,17,6,11,13.4,4.8,2,3.6,54.8,0,0.1,0,0.8,1.6,46.4,1.6,1.6,3.2,0.4,0.6,0.2,0.3,2.6,10.3,1,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Robinson,WAS,24,4,1,3,8,4.8,2,3.3,61.5,0,0,0,0.8,1.5,50,0.5,1.3,1.8,0.5,0,0.8,0.3,0.5,10.6,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Keita Bates-Diop,MIN,23,22,7,15,15.8,4.7,1.9,4.5,42.9,0.3,1.6,16.7,0.6,1,63.6,0.5,2,2.5,0.5,0.4,0.5,0.5,0.9,11.1,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wes Iwundu,ORL,24,61,31,30,18,4.7,1.5,4,38.2,0.3,1.1,31.8,1.3,1.6,81,0.6,2.2,2.8,1,0.7,0.4,0.3,1.9,11.1,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonzo McKinnie,GSW,26,64,47,17,13.7,4.7,1.9,3.9,48.6,0.6,1.6,35,0.4,0.6,57.5,1.2,2.3,3.4,0.4,0.4,0.2,0.2,1.9,10.3,1,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Motley,LAC,23,18,11,7,7.5,4.7,1.7,3.5,49.2,0,0.2,0,1.2,1.9,64.7,0.8,1.4,2.2,0.4,0.8,0.2,0.1,1.3,8.2,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Dudley,BKN,33,53,25,28,20.6,4.7,1.7,4,42,0.9,2.5,34.6,0.4,0.7,63.9,0.5,2.1,2.5,1.4,0.8,0.6,0.3,2.3,11.7,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonte' Graham,CHA,24,38,14,24,13.9,4.6,1.6,4.4,34.9,0.7,2.5,28.1,0.8,1.1,73.2,0.2,1.1,1.3,2.5,0.6,0.5,0.1,1.1,11,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter-Williams,ORL,27,21,12,9,11,4.6,1.6,4,39.8,0.4,1.3,33.3,1,1.9,52.5,0.3,1.5,1.9,1.8,0.7,0.6,0.5,1.6,11.9,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Frazier,MIL,28,52,23,29,18.1,4.5,1.7,3.9,43.3,0.5,1.6,32.9,0.6,0.8,78,0.6,2.1,2.7,4,1.2,0.5,0.1,1.9,14.3,2,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Miller,TOR,26,6,5,1,6,4.5,1.5,3,50,1.5,2.7,56.3,0,0,0,0,0.3,0.3,0.2,0,0.2,0,0.3,5.7,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Wood,NOP,23,15,11,4,6.8,4.5,1.5,2.6,56.4,0.3,0.7,50,1.2,1.9,62.1,0.5,1.5,2,0.3,0.3,0.2,0.4,0.3,8.7,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Khem Birch,ORL,26,43,21,22,12.4,4.5,1.6,2.7,60,0,0,0,1.3,1.8,71.1,1.5,2.2,3.7,0.7,0.4,0.3,0.5,1.3,12.3,1,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Plumlee,ATL,30,18,1,17,9.6,4.4,1.8,2.7,66.7,0,0,0,0.9,1.7,53.3,0.9,1.3,2.2,0.9,0.6,0.3,0.2,0.8,9.6,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Thomas,NYK,30,41,6,35,16.5,4.4,1.7,4.2,39.8,0.5,1.7,30,0.6,0.8,77.4,0.5,1.9,2.4,0.6,0.5,0.4,0.1,1.9,9.2,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,CHA,26,46,20,26,14.1,4.4,1.7,2.8,58.5,0,0,0,1.1,1.7,65.4,1.5,3,4.5,0.5,0.6,0.2,0.9,2,13.2,3,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Felton,OKC,34,26,14,12,11.5,4.4,1.7,4.3,40.5,0.5,1.7,26.7,0.5,0.5,92.3,0.2,0.8,1,1.6,0.5,0.3,0.2,0.9,9.1,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Brown,DET,22,66,31,35,19.5,4.3,1.7,4.4,39,0.3,1.3,25.6,0.6,0.8,71.7,0.7,1.9,2.5,1.2,0.6,0.5,0.5,2.5,11.4,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquese Chriss,CLE,21,36,17,19,11.6,4.3,1.6,4.1,38.1,0.4,1.8,25,0.7,1,69.4,0.9,2.3,3.1,0.6,0.9,0.3,0.3,1.9,9.9,1,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Moritz Wagner,LAL,21,36,11,25,8.8,4.3,1.5,3.4,42.7,0.5,1.7,30,0.8,1.1,76.3,0.4,1.3,1.7,0.6,0.8,0.3,0.2,1.1,7.8,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerian Grant,ORL,26,57,27,30,16.2,4.2,1.6,3.7,42,0.7,1.8,36.5,0.5,0.7,68.4,0.3,1.4,1.7,2.7,0.9,0.8,0.1,1.3,12.1,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Livingston,GSW,33,58,40,18,15.3,4.2,1.8,3.5,50.7,0,0,0,0.7,0.8,81.6,0.7,1.2,1.9,1.9,0.6,0.5,0.4,1.2,11.4,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaron Blossomgame,CLE,25,27,4,23,16.3,4.2,1.7,3.9,44.3,0.4,1.4,25.6,0.4,0.5,76.9,1,2.7,3.6,0.5,0.4,0.3,0.3,0.7,10.6,1,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,GSW,34,5,4,1,14.3,4.2,1.8,4.2,42.9,0,0,0,0.6,0.6,100,1.2,4.2,5.4,1.8,0.6,0.2,0.6,2.2,15.2,0,0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Damion Lee,GSW,26,27,14,13,11,4.2,1.5,3.5,43.2,0.7,1.9,37.3,0.4,0.6,80,0.3,1.4,1.7,0.2,0.4,0.4,0,1,7.3,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Sampson,CHI,21,8,2,6,12.5,4.1,1.6,3.3,50,0.5,1.9,26.7,0.4,0.5,75,0,1,1,0.4,0.9,0.3,0.1,1.1,6.1,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Robinson III,DET,25,42,21,21,12.7,4.1,1.5,3.7,40.8,0.4,1.3,28.6,0.7,0.8,82.9,0.4,1,1.3,0.4,0.4,0.3,0.2,1,7.3,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Leuer,DET,29,37,14,23,10.3,4.1,1.7,2.9,58.7,0,0.3,10,0.6,0.8,74.2,0.7,1.9,2.5,0.4,0.6,0.3,0.1,1.6,8.4,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonah Bolden,PHI,23,38,22,16,13,4.1,1.6,3.2,50,0.6,1.9,33.8,0.3,0.6,47.6,0.9,2.5,3.4,0.8,0.8,0.4,0.9,2.2,12.3,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Felicio,CHI,26,54,15,39,11.5,4.1,1.6,2.9,55.8,0,0.1,0,0.8,1.1,72.6,1.3,2.1,3.3,0.5,0.5,0.2,0.1,1,9.3,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaza Pachulia,DET,35,61,31,30,13.2,4,1.3,3,43.6,0,0.1,0,1.4,1.9,77.9,1.5,2.5,4.1,1.4,0.8,0.5,0.3,2.2,12.5,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragan Bender,PHX,21,40,7,33,15.9,4,1.6,3.5,44,0.5,2,23.1,0.5,0.8,57.6,0.6,2.6,3.2,0.9,0.7,0.3,0.3,1.7,10.4,2,0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
J.P. Macura,CHA,23,1,0,1,13.8,4,2,8,25,0,4,0,0,0,0,0,2,2,2,0,0,0,0,9.4,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahjere McCall,BKN,24,1,0,1,8,4,2,3,66.7,0,1,0,0,1,0,0,1,1,0,0,0,0,2,5.2,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdel Nader,OKC,25,56,35,21,11.7,4,1.5,3.5,42.8,0.5,1.6,34.1,0.5,0.6,77.1,0.2,1.7,1.9,0.3,0.4,0.3,0.2,1.1,8,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamidou Diallo,OKC,20,48,27,21,10.9,4,1.6,3.4,45.5,0.1,0.5,16.7,0.8,1.2,61,0.8,1.2,2,0.4,0.5,0.4,0.2,1.6,8.3,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,SAC,26,19,7,12,8.3,3.9,1.3,3.4,39.1,0.9,2.2,41.5,0.4,0.6,66.7,0.2,0.7,0.9,0.2,0.3,0.3,0.2,1.2,6.5,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Mahinmi,WAS,32,32,12,20,14.2,3.9,1.3,2.7,48.8,0,0.4,7.7,1.3,1.9,68.3,1.3,2.2,3.4,0.8,0.6,0.8,0.5,2.4,12.2,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,MIL,38,30,17,13,12,3.9,1.4,3.1,44.7,0.2,0.4,46.2,0.9,1.3,70,0.7,3.8,4.6,1.7,0.5,0.2,0.5,1,13.5,1,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Johnson,PHI,31,45,29,16,10.3,3.9,1.5,3,50.7,0.2,0.8,32.4,0.6,0.8,75,0.8,1.9,2.8,1.2,1,0.3,0.2,2,9.8,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayson Allen,UTA,23,33,19,14,9.2,3.8,1.2,3.6,32.2,0.7,2.2,29.7,0.9,1.3,69,0,0.3,0.3,0.5,0.5,0.1,0.1,1.1,5.2,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Hill,NOP,28,39,13,26,19.3,3.8,1.4,3.5,38.4,0.6,1.9,30.3,0.5,0.7,70.4,0.8,2.1,2.9,1.2,0.6,0.6,0.2,1.7,10.8,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Patterson,OKC,30,61,38,23,14,3.8,1.3,3.6,37.6,0.8,2.2,33.8,0.3,0.5,63.3,0.7,1.7,2.4,0.5,0.3,0.3,0.2,0.7,8.5,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Creek,BKN,26,4,1,3,8.9,3.8,1.3,2.5,50,0,0.3,0,1.3,1.8,71.4,1.3,1.3,2.5,1.3,0,0.3,0,0.8,9.4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Brown Jr.,WAS,19,46,19,27,11.6,3.7,1.5,3.7,39.2,0.2,1,25,0.6,0.9,65.9,0.6,1.9,2.5,1.4,0.5,0.3,0.1,1,9.7,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius Jackson,PHI,24,6,5,1,6.6,3.7,1.3,2.5,53.3,0.3,1,33.3,0.7,0.7,100,0.3,0.2,0.5,0.8,0.2,0.3,0,0.7,6.4,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Payton II,WAS,26,3,2,1,5.3,3.7,1.7,2.7,62.5,0.3,0.7,50,0,0,0,0.3,0.3,0.7,1.3,0.3,1,0.3,0.7,10.1,0,0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Nene,HOU,36,38,26,12,13.1,3.6,1.4,2.7,52.9,0,0.1,0,0.8,1.2,64.4,0.8,2.2,2.9,0.6,0.3,0.5,0.4,2,10.3,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Broekhoff,DAL,28,35,11,24,9.4,3.6,1.3,2.7,46.8,0.9,2.1,41.7,0.2,0.3,88.9,0.1,1.1,1.2,0.5,0.3,0.1,0.1,0.8,6.2,0,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Williams,BKN,26,4,0,4,5.5,3.5,1.5,2.5,60,0,0.3,0,0.5,1,50,1,3.3,4.3,0.8,0.3,0.3,0,0.5,10.2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Johnson,ATL,23,6,2,4,7.2,3.5,1.3,2.7,50,0.5,1,50,0.3,0.3,100,0.3,1,1.3,0,0.3,0.3,0,0.5,5.8,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,SAC,30,36,19,17,11.6,3.5,1.6,3.5,46.8,0,0,0,0.2,0.6,38.1,1.2,2.9,4.1,0.8,0.6,0.4,0.4,1.7,11.6,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothe Luwawu-Cabarrot,CHI,23,44,24,20,11.4,3.5,1.3,3.5,36.8,0.6,1.8,32.5,0.4,0.5,66.7,0.2,1.3,1.5,0.5,0.3,0.4,0.1,1.2,7,0,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Wallace,LAC,24,55,31,24,10.3,3.5,1.5,3.5,41,0.1,0.3,23.5,0.5,1,52.8,0.4,1.3,1.7,0.7,0.5,0.3,0.1,1.3,7.4,0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Briscoe,ORL,22,39,17,22,14.3,3.5,1.4,3.5,39.9,0.3,0.9,32.4,0.4,0.7,57.7,0.1,1.8,1.9,2.2,0.8,0.3,0.1,1.7,9.3,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
John Jenkins,NYK,28,19,5,14,10,3.5,1.3,3.4,37.5,0.6,1.7,33.3,0.4,0.5,77.8,0.2,0.7,0.9,0.5,0.3,0,0.1,0.1,5.4,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Johnson,WAS,31,37,16,21,14.3,3.5,1.2,3.4,35.7,0.7,2.1,32.9,0.4,0.5,68.4,0.3,1.6,1.9,0.6,0.5,0.4,0.3,1.6,8.2,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Leaf,IND,21,51,32,19,8.5,3.4,1.5,2.8,54.2,0.1,0.5,23.1,0.3,0.5,56,0.6,1.4,2,0.4,0.2,0.1,0.3,0.6,7.3,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle O'Quinn,IND,29,42,26,16,8.3,3.4,1.5,2.9,51.6,0,0.3,9.1,0.4,0.5,78.9,0.6,2,2.7,1.3,0.7,0.2,0.5,1.5,10.1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Reynolds,MIN,24,11,3,8,11.8,3.4,1.2,3.5,33.3,0.7,2.2,33.3,0.3,0.3,100,0.2,0.9,1.1,0.5,0.1,0.4,0.1,0.8,6.8,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Channing Frye,CLE,35,33,7,26,9.5,3.4,1.1,3.1,35.9,0.8,2.2,39.4,0.3,0.4,75,0.1,1.3,1.5,0.6,0.3,0.2,0.2,1.3,6.7,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,DAL,33,27,3,24,11.2,3.3,1.3,3.1,40.5,0.3,1.2,27.3,0.5,0.7,68.4,0.3,1.1,1.4,0.9,0.3,0.6,0.1,0.9,8,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Terry,MIA,22,3,0,3,7.6,3.3,1.3,2.3,57.1,0,0,0,0.7,1.3,50,1,1.3,2.3,0.7,0.7,1,0,1.3,9.5,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Machado,LAL,28,3,2,1,6,3.3,1.3,2,66.7,0.3,0.3,100,0.3,0.3,100,0,0,0,1,0,0.3,0,0.7,5.8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Thabo Sefolosha,UTA,34,43,23,20,10.7,3.3,1.2,2.6,47.3,0.6,1.4,42.4,0.3,0.5,65,0.1,2.2,2.3,0.4,0.4,0.8,0.1,0.8,9.1,1,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Wanamaker,BOS,29,31,24,7,8.6,3.3,1.1,2.5,44.3,0.5,1,50,0.5,0.6,88.9,0.1,0.9,1,1.3,0.5,0.3,0,0.7,6.9,0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Smith,NOP,33,20,10,10,9.5,3.3,1.1,3,35.6,0.5,1.3,34.6,0.7,0.8,87.5,0.8,1.8,2.6,0.7,0.7,0.2,0.4,1.5,8.3,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Cunningham,SAS,31,60,33,27,14.8,3.2,1.3,2.5,49.7,0.5,1,48.4,0.2,0.3,77.8,0.8,2.3,3.1,0.8,0.4,0.4,0.2,1.2,9.7,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Milos Teodosic,LAC,32,15,8,7,10,3.2,1.1,2.7,42.5,0.7,1.8,37,0.3,0.5,57.1,0.2,0.9,1.1,2.1,1.4,0.2,0.1,1.8,7.1,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Harrison,NOP,24,17,6,11,10.9,3.2,0.9,3.1,30.2,0.3,1.5,20,1,1.1,94.4,0.4,0.8,1.2,1.4,0.7,0.2,0.1,2,7.1,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Semi Ojeleye,BOS,24,51,35,16,10.4,3.2,1.1,2.6,43.2,0.5,1.5,32.5,0.5,0.7,67.6,0.4,1.1,1.5,0.4,0.4,0.2,0.1,0.8,6,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Niang,UTA,25,52,36,16,7.1,3.2,1.2,2.5,46.2,0.7,1.6,41.5,0.2,0.3,73.3,0.2,1.1,1.3,0.5,0.3,0.1,0.1,0.8,5.7,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Svi Mykhailiuk,DET,21,42,19,23,10.5,3.2,1.1,3.3,32.9,0.7,2.1,32.6,0.3,0.5,60,0.2,0.6,0.9,0.9,0.5,0.3,0,0.6,6.1,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
